"Pclass=1	,216"
"Pclass=1	Sex=female	,94"
"Pclass=1	Sex=female	Survived=live	,91"
"Pclass=1	Sex=male	,122"
"Pclass=1	Age=adult	,147"
"Pclass=1	Age=adult	Survived=live	,101"
"Pclass=1	Relatives=haskins	,107"
"Pclass=1	Relatives=nokins	,109"
"Pclass=1	Survived=live	,136"
"Pclass=2	,184"
"Pclass=2	Sex=male	,108"
"Pclass=2	Sex=male	Survived=dead	,91"
"Pclass=2	Age=adult	,142"
"Pclass=2	Relatives=nokins	,104"
"Pclass=2	Survived=dead	,97"
"Pclass=3	,491"
"Pclass=3	Sex=female	,144"
"Pclass=3	Sex=male	,347"
"Pclass=3	Sex=male	Age=adult	,204"
"Pclass=3	Sex=male	Age=adult	Relatives=nokins	,171"
"Pclass=3	Sex=male	Age=adult	Relatives=nokins	Survived=dead	,146"
"Pclass=3	Sex=male	Age=adult	Survived=dead	,176"
"Pclass=3	Sex=male	Relatives=nokins	,264"
"Pclass=3	Sex=male	Relatives=nokins	Survived=dead	,232"
"Pclass=3	Sex=male	Survived=dead	,300"
"Pclass=3	Age=adult	,270"
"Pclass=3	Age=adult	Relatives=nokins	,200"
"Pclass=3	Age=adult	Relatives=nokins	Survived=dead	,161"
"Pclass=3	Age=adult	Survived=dead	,215"
"Pclass=3	Relatives=haskins	,167"
"Pclass=3	Relatives=haskins	Survived=dead	,117"
"Pclass=3	Relatives=nokins	,324"
"Pclass=3	Relatives=nokins	Survived=dead	,255"
"Pclass=3	Survived=dead	,372"
"Pclass=3	Survived=live	,119"
"Sex=female	,314"
"Sex=female	Age=adult	,196"
"Sex=female	Age=adult	Relatives=haskins	,113"
"Sex=female	Age=adult	Survived=live	,150"
"Sex=female	Relatives=haskins	,188"
"Sex=female	Relatives=haskins	Survived=live	,134"
"Sex=female	Relatives=nokins	,126"
"Sex=female	Relatives=nokins	Survived=live	,99"
"Sex=female	Survived=live	,233"
"Sex=male	,577"
"Sex=male	Age=adult	,363"
"Sex=male	Age=adult	Relatives=haskins	,97"
"Sex=male	Age=adult	Relatives=nokins	,266"
"Sex=male	Age=adult	Relatives=nokins	Survived=dead	,219"
"Sex=male	Age=adult	Survived=dead	,297"
"Sex=male	Relatives=haskins	,166"
"Sex=male	Relatives=haskins	Survived=dead	,121"
"Sex=male	Relatives=nokins	,411"
"Sex=male	Relatives=nokins	Survived=dead	,347"
"Sex=male	Survived=dead	,468"
"Sex=male	Survived=live	,109"
"Age=adult	,559"
"Age=adult	Relatives=haskins	,210"
"Age=adult	Relatives=haskins	Survived=dead	,106"
"Age=adult	Relatives=haskins	Survived=live	,104"
"Age=adult	Relatives=nokins	,349"
"Age=adult	Relatives=nokins	Survived=dead	,237"
"Age=adult	Relatives=nokins	Survived=live	,112"
"Age=adult	Survived=dead	,343"
"Age=adult	Survived=live	,216"
"Age=teen	,113"
"Age=teen	Relatives=haskins	,90"
"Relatives=haskins	,354"
"Relatives=haskins	Survived=dead	,175"
"Relatives=haskins	Survived=live	,179"
"Relatives=nokins	,537"
"Relatives=nokins	Survived=dead	,374"
"Relatives=nokins	Survived=live	,163"
"Survived=dead	,549"
"Survived=live	,342"
